key,value
"C24050_001","Total"
"C24050_002","Agriculture, forestry, fishing and hunting, and mining"
"C24050_003","Construction"
"C24050_004","Manufacturing"
"C24050_005","Wholesale trade"
"C24050_006","Retail trade"
"C24050_007","Transportation and warehousing, and utilities"
"C24050_008","Information"
"C24050_009","Finance and insurance, and real estate, and rental and leasing"
"C24050_010","Professional, scientific, and management, and administrative, and waste management services"
"C24050_011","Educational services, and health care and social assistance"
"C24050_012","Arts, entertainment, and recreation, and accommodation and food services"
"C24050_013","Other services, except public administration"
"C24050_014","Public administration"
